hero_x,hero_y,cnt
HAWK,ANT-MAN/DR. HENRY J.,263
DAREDEVIL/MATT MURDO,"NELSON, FRANKLIN FOG",261
WONDER MAN/SIMON WIL,SCARLET WITCH/WANDA ,261
STORM/ORORO MUNROE S,CYCLOPS/SCOTT SUMMER,261
PROFESSOR X/CHARLES ,STORM/ORORO MUNROE S,261
THOR/DR. DONALD BLAK,VISION ,255
WASP/JANET VAN DYNE ,VISION ,254
THOR/DR. DONALD BLAK,SCARLET WITCH/WANDA ,254
HAWK,VISION ,253
NIGHTCRAWLER/KURT WA,STORM/ORORO MUNROE S,250
"BANNER, BETTY ROSS T",HULK/DR. ROBERT BRUC,249
IRON MAN/TONY STARK ,WONDER MAN/SIMON WIL,249
SPIDER-MAN/PETER PAR,"LEEDS, BETTY BRANT",249
PROFESSOR X/CHARLES ,WOLVERINE/LOGAN ,248
"JARVIS, EDWIN ",CAPTAIN AMERICA,244
ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA ,244
SPIDER-MAN/PETER PAR,"THOMPSON, EUGENE FLA",240
VISION ,ANT-MAN/DR. HENRY J.,239
WASP/JANET VAN DYNE ,THOR/DR. DONALD BLAK,238
PROFESSOR X/CHARLES ,COLOSSUS II/PETER RA,236
"WATSON-PARKER, MARY ","JAMESON, J. JONAH",235
ROGUE /,WOLVERINE/LOGAN ,232
INVISIBLE WOMAN/SUE ,"RICHARDS, FRANKLIN B",230
MR. FANTASTIC/REED R,"RICHARDS, FRANKLIN B",228
FANDRAL [ASGARDIAN],HOGUN [ASGARDIAN],227
WONDER MAN/SIMON WIL,VISION ,226
ROGUE /,STORM/ORORO MUNROE S,224
HOGUN [ASGARDIAN],VOLSTAGG,220
VOLSTAGG,FANDRAL [ASGARDIAN],217
WONDER MAN/SIMON WIL,CAPTAIN AMERICA,216
MARVEL GIRL/JEAN GRE,PROFESSOR X/CHARLES ,214
HAWK,THOR/DR. DONALD BLAK,210
QUICKSILVER/PIETRO M,SCARLET WITCH/WANDA ,210
BALDER [ASGARDIAN],THOR/DR. DONALD BLAK,209
DR. STRANGE/STEPHEN ,WONG,208
"PARKER, MAY","JAMESON, J. JONAH",208
HULK/DR. ROBERT BRUC,"ROSS, GEN. THADDEUS ",207
HAWK,WONDER MAN/SIMON WIL,206
ROGUE /,COLOSSUS II/PETER RA,205
CYCLOPS/SCOTT SUMMER,COLOSSUS II/PETER RA,205
THOR/DR. DONALD BLAK,SIF,204
"RICHARDS, FRANKLIN B",HUMAN TORCH/JOHNNY S,202
"RICHARDS, FRANKLIN B",THING/BENJAMIN J. GR,198
COLOSSUS II/PETER RA,SHADOWCAT/KATHERINE ,197
WONDER MAN/SIMON WIL,ANT-MAN/DR. HENRY J.,194
THOR/DR. DONALD BLAK,ANT-MAN/DR. HENRY J.,189
PROFESSOR X/CHARLES ,NIGHTCRAWLER/KURT WA,189
CAPTAIN AMERICA,FALCON/SAM WILSON,189
IRON MAN IV/JAMES R.,IRON MAN/TONY STARK ,189
PROFESSOR X/CHARLES ,BEAST/HENRY &HANK& P,188
"WATSON-PARKER, MARY ","PARKER, MAY",188
VOLSTAGG,THOR/DR. DONALD BLAK,187
"ROBERTSON, JOE","WATSON-PARKER, MARY ",186
WONDER MAN/SIMON WIL,WASP/JANET VAN DYNE ,186
THOR/DR. DONALD BLAK,HOGUN [ASGARDIAN],186
FANDRAL [ASGARDIAN],THOR/DR. DONALD BLAK,186
IRON MAN/TONY STARK ,"JARVIS, EDWIN ",183
PROFESSOR X/CHARLES ,ANGEL/WARREN KENNETH,183
"JARVIS, EDWIN ",VISION ,182
LOKI [ASGARDIAN],THOR/DR. DONALD BLAK,182
CAPTAIN AMERICA,HERCULES [GREEK GOD],182
SPIDER-MAN/PETER PAR,"OSBORN, HARRY",181
THING/BENJAMIN J. GR,"MASTERS, ALICIA REIS",179
CLEA,DR. STRANGE/STEPHEN ,178
"JAMESON, J. JONAH","LEEDS, BETTY BRANT",178
SUNSPOT/ROBERTO DACO,CANNONBALL II/SAM GU,178
ICEMAN/ROBERT BOBBY ,PROFESSOR X/CHARLES ,174
"JONES, RICHARD MILHO",HULK/DR. ROBERT BRUC,173
CAPTAIN AMERICA,SHE-HULK/JENNIFER WA,172
SHADOWCAT/KATHERINE ,WOLVERINE/LOGAN ,169
BEAST/HENRY &HANK& P,CAPTAIN AMERICA,169
THING/BENJAMIN J. GR,CAPTAIN AMERICA,168
CAPTAIN AMERICA,MR. FANTASTIC/REED R,166
QUICKSILVER/PIETRO M,CAPTAIN AMERICA,165
PSYLOCKE/ELISABETH B,WOLVERINE/LOGAN ,164
BALDER [ASGARDIAN],SIF,164
"DUGAN, TIMOTHY ALOYI","FURY, COL. NICHOLAS ",164
STORM/ORORO MUNROE S,MARVEL GIRL/JEAN GRE,162
"JARVIS, EDWIN ",WASP/JANET VAN DYNE ,160
THOR/DR. DONALD BLAK,"JARVIS, EDWIN ",160
ODIN [ASGARDIAN],BALDER [ASGARDIAN],159
KA-ZAR/KEVIN PLUNDER,ZABU,159
NIGHTCRAWLER/KURT WA,CYCLOPS/SCOTT SUMMER,158
CAPTAIN AMERICA,SUB-MARINER/NAMOR MA,158
HUMAN TORCH/JOHNNY S,CAPTAIN AMERICA,158
VOLSTAGG,BALDER [ASGARDIAN],157
ODIN [ASGARDIAN],SIF,156
"PAGE, KAREN",DAREDEVIL/MATT MURDO,155
"FURY, COL. NICHOLAS ",CAPTAIN AMERICA,155
HULK/DR. ROBERT BRUC,DR. STRANGE/STEPHEN ,154
BALDER [ASGARDIAN],HOGUN [ASGARDIAN],154
FANDRAL [ASGARDIAN],BALDER [ASGARDIAN],154
STORM/ORORO MUNROE S,SHADOWCAT/KATHERINE ,154
"JARVIS, EDWIN ",SCARLET WITCH/WANDA ,153
QUICKSILVER/PIETRO M,HAWK,152
WOLFSBANE/RAHNE SINC,CANNONBALL II/SAM GU,150
CAPTAIN AMERICA,INVISIBLE WOMAN/SUE ,149
"ROSS, GEN. THADDEUS ","BANNER, BETTY ROSS T",148
MIRAGE II/DANIELLE M,CANNONBALL II/SAM GU,148
HAWK,MOCKINGBIRD/DR. BARB,147
SPIDER-MAN/PETER PAR,HUMAN TORCH/JOHNNY S,147
WOLVERINE/LOGAN ,BEAST/HENRY &HANK& P,146
ROGUE /,PSYLOCKE/ELISABETH B,146
CAPTAIN AMERICA,SPIDER-MAN/PETER PAR,145
WOLVERINE/LOGAN ,MARVEL GIRL/JEAN GRE,145
SCARLET WITCH/WANDA ,BEAST/HENRY &HANK& P,145
VISION ,BEAST/HENRY &HANK& P,144
"JAMESON, J. JONAH","THOMPSON, EUGENE FLA",144
MIRAGE II/DANIELLE M,SUNSPOT/ROBERTO DACO,144
"MASTERS, ALICIA REIS",MR. FANTASTIC/REED R,143
CAPTAIN AMERICA,BLACK WIDOW/NATASHA ,143
BEAST/HENRY &HANK& P,IRON MAN/TONY STARK ,142
"MASTERS, ALICIA REIS",INVISIBLE WOMAN/SUE ,141
"MASTERS, ALICIA REIS",HUMAN TORCH/JOHNNY S,141
QUICKSILVER/PIETRO M,VISION ,141
STORM/ORORO MUNROE S,BEAST/HENRY &HANK& P,139
BLACK WIDOW/NATASHA ,HERCULES [GREEK GOD],139
SPIDER-MAN/PETER PAR,"OSBORN, LIZ ALLAN",138
SIF,HOGUN [ASGARDIAN],137
HOGUN [ASGARDIAN],ODIN [ASGARDIAN],136
FANDRAL [ASGARDIAN],SIF,136
ODIN [ASGARDIAN],FANDRAL [ASGARDIAN],135
VOLSTAGG,ODIN [ASGARDIAN],135
PSYLOCKE/ELISABETH B,STORM/ORORO MUNROE S,134
SHE-HULK/JENNIFER WA,WASP/JANET VAN DYNE ,133
SIF,VOLSTAGG,132
ODIN [ASGARDIAN],LOKI [ASGARDIAN],132
BLACK PANTHER/T'CHAL,VISION ,132
SUNSPOT/ROBERTO DACO,WOLFSBANE/RAHNE SINC,131
CAPTAIN AMERICA,BLACK PANTHER/T'CHAL,131
ROGUE /,PROFESSOR X/CHARLES ,131
ROGUE /,NIGHTCRAWLER/KURT WA,130
GORGON [INHUMAN],KARNAK [INHUMAN],129
MR. FANTASTIC/REED R,THOR/DR. DONALD BLAK,129
IRON MAN/TONY STARK ,THING/BENJAMIN J. GR,129
HAVOK/ALEX SUMMERS ,POLARIS/LORNA DANE,129
SPIDER-MAN/PETER PAR,"WATSON, ANNA",128
MR. FANTASTIC/REED R,IRON MAN/TONY STARK ,128
QUICKSILVER/PIETRO M,ANT-MAN/DR. HENRY J.,128
SHE-HULK/JENNIFER WA,HUMAN TORCH/JOHNNY S,127
STORM/ORORO MUNROE S,ANGEL/WARREN KENNETH,127
"LEEDS, BETTY BRANT","WATSON-PARKER, MARY ",127
"CAGE, LUKE/CARL LUCA",IRON FIST/DANIEL RAN,126
CAPTAIN AMERICA,"CARTER, SHARON",126
THOR/DR. DONALD BLAK,THING/BENJAMIN J. GR,126
THING/BENJAMIN J. GR,SPIDER-MAN/PETER PAR,126
SHADOWCAT/KATHERINE ,PROFESSOR X/CHARLES ,125
THOR/DR. DONALD BLAK,WONDER MAN/SIMON WIL,125
"THOMPSON, EUGENE FLA","LEEDS, BETTY BRANT",124
HUMAN TORCH/JOHNNY S,THOR/DR. DONALD BLAK,124
QUICKSILVER/PIETRO M,WASP/JANET VAN DYNE ,124
BOOMER/TABITHA SMITH,CANNONBALL II/SAM GU,124
WOLVERINE/LOGAN ,ANGEL/WARREN KENNETH,123
"BANNER, BETTY ROSS T","JONES, RICHARD MILHO",123
SHE-HULK/JENNIFER WA,THOR/DR. DONALD BLAK,123
STORM/ORORO MUNROE S,GAMBIT/REMY LEBEAU ,122
BLACK BOLT/BLACKANTO,GORGON [INHUMAN],122
INVISIBLE WOMAN/SUE ,SHE-HULK/JENNIFER WA,122
MIRAGE II/DANIELLE M,WOLFSBANE/RAHNE SINC,122
BLACK WIDOW/NATASHA ,DAREDEVIL/MATT MURDO,122
SHE-HULK/JENNIFER WA,MR. FANTASTIC/REED R,122
DR. STRANGE/STEPHEN ,"NORRISS, SISTER BARB",122
CAPTAIN AMERICA,RED SKULL/JOHANN SCH,122
"LEEDS, BETTY BRANT","PARKER, MAY",122
SPIDER-MAN/PETER PAR,MR. FANTASTIC/REED R,121
BLACK BOLT/BLACKANTO,KARNAK [INHUMAN],121
CRYSTAL [INHUMAN],THING/BENJAMIN J. GR,121
ROGUE /,CYCLOPS/SCOTT SUMMER,121
ICEMAN/ROBERT BOBBY ,STORM/ORORO MUNROE S,121
"TALBOT, GLENN",HULK/DR. ROBERT BRUC,120
"THOMPSON, EUGENE FLA","WATSON-PARKER, MARY ",120
IRON MAN/TONY STARK ,BLACK PANTHER/T'CHAL,120
ANT-MAN/DR. HENRY J.,"JARVIS, EDWIN ",120
WOLVERINE/LOGAN ,HAVOK/ALEX SUMMERS ,120
CAPTAIN BRITAIN/BRIA,MEGGAN,120
HERCULES [GREEK GOD],VISION ,120
GAMBIT/REMY LEBEAU ,ROGUE /,120
BLACK WIDOW/NATASHA ,VISION ,120
CAPTAIN AMERICA,BLACK KNIGHT V/DANE ,119
THING/BENJAMIN J. GR,DR. DOOM/VICTOR VON ,119
HUMAN TORCH/JOHNNY S,CRYSTAL [INHUMAN],119
BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,119
BLACK BOLT/BLACKANTO,MEDUSA/MEDUSALITH AM,119
CAPTAIN AMERICA,CAPTAIN MARVEL II/MO,119
NIGHTCRAWLER/KURT WA,MEGGAN,118
GAMBIT/REMY LEBEAU ,WOLVERINE/LOGAN ,118
HAVOK/ALEX SUMMERS ,STORM/ORORO MUNROE S,118
HULK/DR. ROBERT BRUC,"NORRISS, SISTER BARB",117
"HOGAN, VIRGINIA PEPP",IRON MAN/TONY STARK ,117
"THOMPSON, EUGENE FLA","PARKER, MAY",117
ANT-MAN/DR. HENRY J.,BLACK WIDOW/NATASHA ,117
MR. FANTASTIC/REED R,DR. DOOM/VICTOR VON ,115
"PAGE, KAREN","NELSON, FRANKLIN FOG",115
CAPTAIN MARVEL II/MO,WASP/JANET VAN DYNE ,115
"WATSON-PARKER, MARY ","OSBORN, HARRY",115
MEDUSA/MEDUSALITH AM,GORGON [INHUMAN],114
"LEEDS, BETTY BRANT","ROBERTSON, JOE",114
MEGGAN,SHADOWCAT/KATHERINE ,114
FIRESTAR/ANGELICA JO,JUSTICE II/VANCE AST,114
IRON MAN/TONY STARK ,"HOGAN, HAROLD J. HAP",114
HERCULES [GREEK GOD],THOR/DR. DONALD BLAK,114
PUCK/EUGENE MILTON J,"HUDSON, HEATHER",114
DR. DOOM/VICTOR VON ,HUMAN TORCH/JOHNNY S,114
INVISIBLE WOMAN/SUE ,IRON MAN/TONY STARK ,114
BLACK KNIGHT V/DANE ,HERCULES [GREEK GOD],113
MEDUSA/MEDUSALITH AM,KARNAK [INHUMAN],113
THOR/DR. DONALD BLAK,"KINCAID, DR. JANE FO",112
SUNSPOT/ROBERTO DACO,BOOMER/TABITHA SMITH,112
CRYSTAL [INHUMAN],QUICKSILVER/PIETRO M,112
HEIMDALL [ASGARDIAN],THOR/DR. DONALD BLAK,111
SPIDER-MAN/PETER PAR,"GRANT, GLORIA GLORY",111
HERCULES [GREEK GOD],WASP/JANET VAN DYNE ,111
THOR/DR. DONALD BLAK,INVISIBLE WOMAN/SUE ,111
CAPTAIN AMERICA,HULK/DR. ROBERT BRUC,111
WONDER MAN/SIMON WIL,BEAST/HENRY &HANK& P,110
QUICKSILVER/PIETRO M,IRON MAN/TONY STARK ,110
HULK/DR. ROBERT BRUC,DOC SAMSON/DR. LEONA,110
CYCLOPS/SCOTT SUMMER,HAVOK/ALEX SUMMERS ,110
LOKI [ASGARDIAN],BALDER [ASGARDIAN],110
CYCLOPS/SCOTT SUMMER,BANSHEE/SEAN CASSIDY,109
SPIDER-MAN/PETER PAR,"URICH, BEN",109
CAPTAIN BRITAIN/BRIA,NIGHTCRAWLER/KURT WA,109
SUB-MARINER/NAMOR MA,PATRIOT/JEFF MACE,108
SCARLET WITCH/WANDA ,BLACK PANTHER/T'CHAL,108
GAMBIT/REMY LEBEAU ,BEAST/HENRY &HANK& P,108
HUMAN TORCH/JOHNNY S,IRON MAN/TONY STARK ,108
WONDER MAN/SIMON WIL,TIGRA/GREER NELSON,107
CAPTAIN BRITAIN/BRIA,SHADOWCAT/KATHERINE ,107
ODIN [ASGARDIAN],HEIMDALL [ASGARDIAN],106
"JARVIS, EDWIN ",HAWK,106
BOOMER/TABITHA SMITH,THUNDERBIRD II/JAMES,106
"SUMMERS, NATHAN CHRI",MARVEL GIRL/JEAN GRE,105
TIGRA/GREER NELSON,HAWK,105
"ROBERTSON, JOE","PARKER, MAY",105
MR. FANTASTIC/REED R,CRYSTAL [INHUMAN],105
SUB-MARINER/NAMOR MA,HULK/DR. ROBERT BRUC,105
"OSBORN, HARRY","JAMESON, J. JONAH",105
QUASAR III/WENDELL V,CAPTAIN AMERICA,104
BEAST/HENRY &HANK& P,ROGUE /,104
SCARLET WITCH/WANDA ,USAGENT/CAPTAIN JOHN,104
MOCKINGBIRD/DR. BARB,WONDER MAN/SIMON WIL,104
PSYLOCKE/ELISABETH B,COLOSSUS II/PETER RA,104
"HUDSON, HEATHER",SASQUATCH/WALTER LAN,104
"TALBOT, GLENN","ROSS, GEN. THADDEUS ",103
"NORRISS, SISTER BARB",NIGHTHAWK II/KYLE RI,103
THOR/DR. DONALD BLAK,BLACK PANTHER/T'CHAL,103
SPIDER-MAN/PETER PAR,DAREDEVIL/MATT MURDO,103
SUB-MARINER/NAMOR MA,THING/BENJAMIN J. GR,102
INVISIBLE WOMAN/SUE ,SUB-MARINER/NAMOR MA,102
KINGPIN/WILSON FISK,SPIDER-MAN/PETER PAR,102
STORM/ORORO MUNROE S,CANNONBALL II/SAM GU,102
DAREDEVIL/MATT MURDO,KINGPIN/WILSON FISK,102
"TARR, BLACK JACK",SHANG-CHI,102
SHE-HULK/JENNIFER WA,VISION ,102
BANSHEE/SEAN CASSIDY,WOLVERINE/LOGAN ,102
COLOSSUS II/PETER RA,ANGEL/WARREN KENNETH,102
LOCKHEED,NIGHTCRAWLER/KURT WA,102
STORM/ORORO MUNROE S,BANSHEE/SEAN CASSIDY,101
ROGUE /,SHADOWCAT/KATHERINE ,101
THING/BENJAMIN J. GR,VISION ,101
CLEA,WONG,100
SHADOWCAT/KATHERINE ,LOCKHEED,100
ANT-MAN/DR. HENRY J.,HERCULES [GREEK GOD],100
"MACTAGGERT, MOIRA KI",COLOSSUS II/PETER RA,99
SUNSPOT/ROBERTO DACO,WARLOCK III,99
HAWK,BLACK WIDOW/NATASHA ,99
HUMAN TORCH/JOHNNY S,HULK/DR. ROBERT BRUC,99
SIF,LOKI [ASGARDIAN],99
THOR/DR. DONALD BLAK,QUICKSILVER/PIETRO M,99
HULK/DR. ROBERT BRUC,THING/BENJAMIN J. GR,99
SCARLET WITCH/WANDA ,THING/BENJAMIN J. GR,99
LOKI [ASGARDIAN],VOLSTAGG,98
SPIDER-MAN/PETER PAR,SPIDER-MAN CLONE/BEN,98
CANNONBALL II/SAM GU,WARLOCK III,98
ICEMAN/ROBERT BOBBY ,WOLVERINE/LOGAN ,98
"HOGAN, HAROLD J. HAP","HOGAN, VIRGINIA PEPP",98
VISION ,HUMAN TORCH/JOHNNY S,98
NIGHTCRAWLER/KURT WA,"MACTAGGERT, MOIRA KI",97
SPIDER-MAN/PETER PAR,INVISIBLE WOMAN/SUE ,97
THING/BENJAMIN J. GR,SHE-HULK/JENNIFER WA,97
NIGHTHAWK II/KYLE RI,HULK/DR. ROBERT BRUC,97
CLOAK/TYRONE JOHNSON,DAGGER/TANDY BOWEN,97
WOLVERINE/LOGAN ,CANNONBALL II/SAM GU,96
POLARIS/LORNA DANE,CYCLOPS/SCOTT SUMMER,96
INVISIBLE WOMAN/SUE ,CRYSTAL [INHUMAN],96
THUNDERBIRD II/JAMES,CANNONBALL II/SAM GU,96
"TALBOT, GLENN","BANNER, BETTY ROSS T",96
FALCON/SAM WILSON,REDWING,96
INVISIBLE WOMAN/SUE ,DR. DOOM/VICTOR VON ,96
AURORA/JEANNE-MARIE ,NORTHSTAR/JEAN-PAUL ,96
SCARLET WITCH/WANDA ,BLACK WIDOW/NATASHA ,95
HOGUN [ASGARDIAN],HEIMDALL [ASGARDIAN],95
BLACK PANTHER/T'CHAL,HAWK,95
COLOSSUS II/PETER RA,MARVEL GIRL/JEAN GRE,95
THOR/DR. DONALD BLAK,SPIDER-MAN/PETER PAR,95
MR. FANTASTIC/REED R,WASP/JANET VAN DYNE ,95
LYJA LAZERFIST [SKRU,HUMAN TORCH/JOHNNY S,95
HOGUN [ASGARDIAN],LOKI [ASGARDIAN],95
THING/BENJAMIN J. GR,MEDUSA/MEDUSALITH AM,95
FANDRAL [ASGARDIAN],LOKI [ASGARDIAN],95
ANT-MAN/DR. HENRY J.,BEAST/HENRY &HANK& P,95
PROFESSOR X/CHARLES ,GAMBIT/REMY LEBEAU ,95
WOLFSBANE/RAHNE SINC,WARLOCK III,94
BLACK WIDOW/NATASHA ,IRON MAN/TONY STARK ,94
MOON KNIGHT/MARC SPE,FRENCHIE/JEAN-PAUL D,94
CAPTAIN MARVEL II/MO,SHE-HULK/JENNIFER WA,94
QUICKSILVER/PIETRO M,BLACK WIDOW/NATASHA ,94
FANDRAL [ASGARDIAN],HEIMDALL [ASGARDIAN],94
SPIDER-MAN/PETER PAR,IRON MAN/TONY STARK ,94
SPIDER-MAN/PETER PAR,HULK/DR. ROBERT BRUC,93
BANSHEE/SEAN CASSIDY,COLOSSUS II/PETER RA,93
WONDER MAN/SIMON WIL,"JARVIS, EDWIN ",93
PHOENIX III/RACHEL S,NIGHTCRAWLER/KURT WA,93
IRON MAN/TONY STARK ,SHE-HULK/JENNIFER WA,93
BANSHEE/SEAN CASSIDY,JUBILEE/JUBILATION L,93
MEDUSA/MEDUSALITH AM,HUMAN TORCH/JOHNNY S,93
"WATSON, ANNA","WATSON-PARKER, MARY ",93
SPIDER-MAN/PETER PAR,"STACY, GWEN",93
MARVEL GIRL/JEAN GRE,GAMBIT/REMY LEBEAU ,92
HERCULES [GREEK GOD],QUICKSILVER/PIETRO M,92
WOLVERINE/LOGAN ,JUBILEE/JUBILATION L,92
SPIDER-MAN/PETER PAR,BLACK CAT/FELICIA HA,92
INVISIBLE WOMAN/SUE ,VISION ,92
DR. STRANGE/STEPHEN ,SUB-MARINER/NAMOR MA,92
SUB-MARINER/NAMOR MA,HUMAN TORCH/JOHNNY S,92
ROGUE /,MARVEL GIRL/JEAN GRE,91
SCARLET WITCH/WANDA ,SHE-HULK/JENNIFER WA,91
CANNONBALL II/SAM GU,MAGIK/ILLYANA RASPUT,91
HAVOK/ALEX SUMMERS ,COLOSSUS II/PETER RA,91
BEAST/HENRY &HANK& P,PSYLOCKE/ELISABETH B,91
PSYLOCKE/ELISABETH B,MARVEL GIRL/JEAN GRE,91
TRITON,GORGON [INHUMAN],91
TRITON,BLACK BOLT/BLACKANTO,91
PSYLOCKE/ELISABETH B,ANGEL/WARREN KENNETH,90
NORTHSTAR/JEAN-PAUL ,"HUDSON, HEATHER",90
THOR/DR. DONALD BLAK,BEAST/HENRY &HANK& P,90
HUMAN TORCH/JOHNNY S,WASP/JANET VAN DYNE ,90
"FURY, COL. NICHOLAS ",IRON MAN/TONY STARK ,90
BLACK WIDOW/NATASHA ,WASP/JANET VAN DYNE ,90
TRITON,KARNAK [INHUMAN],90
MR. FANTASTIC/REED R,VISION ,90
MR. FANTASTIC/REED R,HULK/DR. ROBERT BRUC,89
MR. FANTASTIC/REED R,SCARLET WITCH/WANDA ,89
PSYLOCKE/ELISABETH B,CYCLOPS/SCOTT SUMMER,89
"OSBORN, LIZ ALLAN","THOMPSON, EUGENE FLA",89
VOLSTAGG,HEIMDALL [ASGARDIAN],89
THING/BENJAMIN J. GR,WASP/JANET VAN DYNE ,89
SPIDER-MAN/PETER PAR,DR. OCTOPUS/OTTO OCT,89
NIGHTHAWK II/KYLE RI,DR. STRANGE/STEPHEN ,89
SCARLET WITCH/WANDA ,HERCULES [GREEK GOD],88
PUNISHER II/FRANK CA,MICROCHIP/LINUS LIEB,88
SHANG-CHI,"WU, LEIKO",88
PHOENIX III/RACHEL S,SHADOWCAT/KATHERINE ,88
SCARLET WITCH/WANDA ,HUMAN TORCH/JOHNNY S,88
"SUMMERS, NATHAN CHRI",CYCLOPS/SCOTT SUMMER,87
MEDUSA/MEDUSALITH AM,TRITON,87
INVISIBLE WOMAN/SUE ,WASP/JANET VAN DYNE ,87
ANT-MAN/DR. HENRY J.,TIGRA/GREER NELSON,87
CRYSTAL [INHUMAN],VISION ,87
TIGRA/GREER NELSON,IRON MAN/TONY STARK ,87
BOX IV/MADISON JEFFR,"HUDSON, HEATHER",87
SCARLET WITCH/WANDA ,INVISIBLE WOMAN/SUE ,87
USAGENT/CAPTAIN JOHN,IRON MAN/TONY STARK ,87
HAWK,SHE-HULK/JENNIFER WA,87
MEDUSA/MEDUSALITH AM,MR. FANTASTIC/REED R,86
PROFESSOR X/CHARLES ,MAGNETO/MAGNUS/ERIC ,86
SHAMAN/MICHAEL TWOYO,"HUDSON, HEATHER",86
GAMBIT/REMY LEBEAU ,CYCLOPS/SCOTT SUMMER,86
MR. FANTASTIC/REED R,SUB-MARINER/NAMOR MA,86
MAGIK/ILLYANA RASPUT,WOLFSBANE/RAHNE SINC,86
ANT-MAN/DR. HENRY J.,BLACK PANTHER/T'CHAL,86
HEIMDALL [ASGARDIAN],SIF,86
GREEN GOBLIN/NORMAN ,SPIDER-MAN/PETER PAR,85
HEIMDALL [ASGARDIAN],BALDER [ASGARDIAN],85
SHANG-CHI,"RESTON, CLIVE",85
"JAMESON, J. JONAH","URICH, BEN",85
BEAST/HENRY &HANK& P,COLOSSUS II/PETER RA,85
HULK/DR. ROBERT BRUC,IRON MAN/TONY STARK ,85
WASP/JANET VAN DYNE ,BLACK PANTHER/T'CHAL,84
GEE/ALEX POWER,COUNTERWEIGHT II/KAT,84
GEE/ALEX POWER,COUNTERWEIGHT/JACK P,84
CAPTAIN MARVEL II/MO,THOR/DR. DONALD BLAK,84
MOCKINGBIRD/DR. BARB,TIGRA/GREER NELSON,84
"SMITH, SIR DENIS NAY",SHANG-CHI,84
LIGHTSPEED/JULIE POW,COUNTERWEIGHT/JACK P,84
NORTHSTAR/JEAN-PAUL ,PUCK/EUGENE MILTON J,84
